Disease,Description
Abdominal Aortic Aneurysm,Abdominal Aortic Aneurysm is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Abdominal Hernia,Abdominal Hernia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Abscess Of Nose,Abscess Of Nose is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Abscess Of The Lung,Abscess Of The Lung is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Abscess Of The Pharynx,Abscess Of The Pharynx is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Acanthosis Nigricans,Acanthosis Nigricans is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Acariasis,Acariasis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Achalasia,Achalasia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Acne,"Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells, causing pimples, blackheads, and whiteheads."
Actinic Keratosis,Actinic Keratosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Acute Bronchitis,Acute Bronchitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Acute Bronchospasm,Acute Bronchospasm is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Acute Fatty Liver Of Pregnancy (Aflp),Acute Fatty Liver Of Pregnancy (Aflp) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Acute Glaucoma,Acute Glaucoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Acute Kidney Injury,Acute Kidney Injury is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Acute Otitis Media,Acute Otitis Media is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Acute Pancreatitis,Acute Pancreatitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Acute Respiratory Distress Syndrome (Ards),Acute Respiratory Distress Syndrome (Ards) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Acute Stress Reaction,Acute Stress Reaction is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Adhesive Capsulitis Of The Shoulder,Adhesive Capsulitis Of The Shoulder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Adjustment Reaction,Adjustment Reaction is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Adrenal Adenoma,Adrenal Adenoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Adrenal Cancer,Adrenal Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Alcohol Abuse,Alcohol Abuse is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Alcohol Intoxication,Alcohol Intoxication is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Alcohol Withdrawal,Alcohol Withdrawal is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Alcoholic Hepatitis,"Alcoholic hepatitis is liver inflammation caused by heavy alcohol consumption, presenting with jaundice, abdominal pain, fever, and liver dysfunction."
Alcoholic Liver Disease,Alcoholic Liver Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Allergy,"Allergy is an immune system reaction to a foreign substance that is not typically harmful, causing symptoms such as sneezing, itching, rash, or anaphylaxis."
Allergy To Animals,Allergy To Animals is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Alopecia,Alopecia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
